topic,title,summary,url,image_url,date
buildings-design,Amtrak could modernize Northeast Corridor for less: NYU study,"Researchers at New York University propose innovations to turn the Northeast Corridor into a true high-speed rail line, benefiting commuters and intercity riders.",https://www.smartcitiesdive.com/news/amtrak-northeast-corridor-nyu-study/747235/,https://imgproxy.divecdn.com/CTOEsWDUB7PN8jYzu6juR6kO9D0Vh8bbnEBHVFzewfA/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS8wNjExMjAyMV9Sb3V0ZTEyOF8wMjE5N19zeXRxV1doLmpwZw==.webp,Unknown
buildings-design,NOAA stops tracking cost of extreme weather and climate disasters,"The data can't be replicated by city and state governments, scientists say.",https://www.smartcitiesdive.com/news/noaa-stops-tracking-climate-disasters-billion-dollar-database/747652/,https://imgproxy.divecdn.com/ZX4uX9_nPP8FoIe7FX6jL7WYgBPEctNPdRiipUbGRdg/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMTgwMDM5MzM0LmpwZw==.webp,Unknown
buildings-design,DOT awards $3.2B to 180 projects,"Transportation Secretary Sean Duffy said the Biden administration left the transportation department with 3,200 unobligated grants.",https://www.smartcitiesdive.com/news/transportation-department-duffy-32b-grants-180-projects/747467/,https://imgproxy.divecdn.com/QNBAbBWpoNK4O2S3VMu1ovFuqJoTKcfEvYe6squ78ME/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMjEzNzg4MzA1LmpwZw==.webp,Unknown
buildings-design,House bill would rescind $3.1B from transportation equity grants,"If enacted, some 78 projects funded by the Neighborhood Access and Equity program would be at risk of losing grants previously awarded.",https://www.smartcitiesdive.com/news/house-republicans-rescind-reconnecting-communities-equity-grants/747089/,https://imgproxy.divecdn.com/qavgNm1GBMRrcQcUl4AiaYg969DT-3I6aDisx9ULS8E/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9TY3JlZW5zaG90XzIwMjUtMDQtMzBfYXRfMTAuMDkuMzNBTV9jb3B5LnBuZw==.webp,Unknown
climate-resilience,Amtrak could modernize Northeast Corridor for less: NYU study,"Researchers at New York University propose innovations to turn the Northeast Corridor into a true high-speed rail line, benefiting commuters and intercity riders.",https://www.smartcitiesdive.com/news/amtrak-northeast-corridor-nyu-study/747235/,https://imgproxy.divecdn.com/CTOEsWDUB7PN8jYzu6juR6kO9D0Vh8bbnEBHVFzewfA/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS8wNjExMjAyMV9Sb3V0ZTEyOF8wMjE5N19zeXRxV1doLmpwZw==.webp,Unknown
climate-resilience,NOAA stops tracking cost of extreme weather and climate disasters,"The data can't be replicated by city and state governments, scientists say.",https://www.smartcitiesdive.com/news/noaa-stops-tracking-climate-disasters-billion-dollar-database/747652/,https://imgproxy.divecdn.com/ZX4uX9_nPP8FoIe7FX6jL7WYgBPEctNPdRiipUbGRdg/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMTgwMDM5MzM0LmpwZw==.webp,Unknown
climate-resilience,DOT awards $3.2B to 180 projects,"Transportation Secretary Sean Duffy said the Biden administration left the transportation department with 3,200 unobligated grants.",https://www.smartcitiesdive.com/news/transportation-department-duffy-32b-grants-180-projects/747467/,https://imgproxy.divecdn.com/QNBAbBWpoNK4O2S3VMu1ovFuqJoTKcfEvYe6squ78ME/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMjEzNzg4MzA1LmpwZw==.webp,Unknown
climate-resilience,House bill would rescind $3.1B from transportation equity grants,"If enacted, some 78 projects funded by the Neighborhood Access and Equity program would be at risk of losing grants previously awarded.",https://www.smartcitiesdive.com/news/house-republicans-rescind-reconnecting-communities-equity-grants/747089/,https://imgproxy.divecdn.com/qavgNm1GBMRrcQcUl4AiaYg969DT-3I6aDisx9ULS8E/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9TY3JlZW5zaG90XzIwMjUtMDQtMzBfYXRfMTAuMDkuMzNBTV9jb3B5LnBuZw==.webp,Unknown
energy-utilities,Amtrak could modernize Northeast Corridor for less: NYU study,"Researchers at New York University propose innovations to turn the Northeast Corridor into a true high-speed rail line, benefiting commuters and intercity riders.",https://www.smartcitiesdive.com/news/amtrak-northeast-corridor-nyu-study/747235/,https://imgproxy.divecdn.com/CTOEsWDUB7PN8jYzu6juR6kO9D0Vh8bbnEBHVFzewfA/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS8wNjExMjAyMV9Sb3V0ZTEyOF8wMjE5N19zeXRxV1doLmpwZw==.webp,Unknown
energy-utilities,NOAA stops tracking cost of extreme weather and climate disasters,"The data can't be replicated by city and state governments, scientists say.",https://www.smartcitiesdive.com/news/noaa-stops-tracking-climate-disasters-billion-dollar-database/747652/,https://imgproxy.divecdn.com/ZX4uX9_nPP8FoIe7FX6jL7WYgBPEctNPdRiipUbGRdg/g:ce/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMTgwMDM5MzM0LmpwZw==.webp,Unknown
