date,title,url,excerpt
"January 15, 2025",AECOM Tishman Selected as Construction Manager for Dyer Avenue Deck-Overs at New Midtown Bus Terminal in New York City,https://aecom.com/press-releases/aecom-tishman-selected-as-construction-manager-for-dyer-avenue-deck-overs-at-new-midtown-bus-terminal-in-new-york-city/,"New Terminal Considered One of the Most Important Infrastructure Projects in United States NEW YORK (January 14, 2025) — AECOM Tishman, one of the nation’s leading builders for over 125 years, has been selected by the Port Authority of New York and New Jersey (PANYNJ) as the construction manager for the Dyer Avenue deck-overs project....Read more"
"January 7, 2025",AECOM earns Equality 100 Award in Human Rights Campaign Foundation’s 2025 Corporate Equality Index,https://aecom.com/press-releases/aecom-earns-equality-100-award-in-human-rights-campaign-foundations-2025-corporate-equality-index/,"DALLAS (January 7, 2025) — AECOM, the trusted global infrastructure leader, today announced that it has received a score of 100 on the Human Rights Campaign Foundation’s (HRCF) 2025 Corporate Equality Index, the nation’s foremost benchmarking survey and report measuring corporate policies and practices related to LGBTQ+ workplace equality. Receiving HRCF’s Equality 100 Award puts...Read more"
"December 23, 2024",AECOM-led joint venture to deliver critical rail improvements along Amtrak’s Northeast Corridor,https://aecom.com/press-releases/aecom-led-joint-venture-to-deliver-critical-rail-improvements-along-amtraks-northeast-corridor/,"The Company’s joint venture with STV will provide project management services for the Sawtooth Bridges Replacement Project in New Jersey DALLAS (December 23, 2024) — AECOM (NYSE: ACM), the trusted global infrastructure leader, today announced that an AECOM-led joint venture with STV has been selected by Amtrak to provide project management services for the Sawtooth...Read more"
"December 20, 2024",AECOM secures positions on AMP8 UK water infrastructure frameworks exceeding twice the value of prior AMP7 frameworks,https://aecom.com/press-releases/aecom-secures-positions-on-amp8-uk-water-infrastructure-frameworks-exceeding-twice-the-value-of-prior-amp7-frameworks/,"DALLAS (December 20, 2024) — AECOM (NYSE: ACM), the trusted global infrastructure leader, today announced that it has achieved record success on major Water sector wins associated with the UK’s new Asset Management Period 8 (AMP8). In total, the Company has sustained a 100%-win rate on recompete contracts whose expected framework value is more than...Read more"
"December 19, 2024","AECOM to support transformed mobility across Austin, Texas by delivering the city’s first light rail system",https://aecom.com/press-releases/aecom-to-support-transformed-mobility-across-austin-texas-by-delivering-the-citys-first-light-rail-system/,"The Company will serve as delivery partner for the Austin Transit Partnership, providing program management and an array of technical services on the first phase of an approximately 10-mile light rail system in Texas’s capital. DALLAS (December 19, 2024) — AECOM (NYSE: ACM), the trusted global infrastructure leader, today announced its selection as the delivery...Read more"
"December 12, 2024",AECOM appointed to UK Environment Agency’s fourth Ecological Services Framework,https://aecom.com/press-releases/aecom-appointed-to-uk-environment-agencys-fourth-ecological-services-framework/,"The firm has been reappointed to all four lots on the framework, bringing its full breadth of ecological services to support conservation and resilience efforts across England’s waterways. DALLAS (December 12, 2024) — AECOM, the trusted global infrastructure leader, today announced that it has been appointed to all four lots of the UK Environment Agency’s...Read more"
"December 10, 2024",AECOM appoints Matt Kavanagh as its new Global Energy Strategy & Growth Lead,https://aecom.com/press-releases/aecom-appoints-matt-kavanagh-as-its-new-global-energy-strategy-growth-lead/,"DALLAS (December 10, 2024) — AECOM, the trusted global infrastructure leader, today announced that it has appointed Matt Kavanagh as its Global Energy Strategy & Growth Lead. With more than 20 years of industry experience, Mr. Kavanagh has identified, developed, and managed more than $3 billion of energy and economic development projects in 25 countries. In...Read more"
"December 9, 2024",AECOM appointed by Thames Water to new £400 million professional services framework,https://aecom.com/press-releases/aecom-appointed-by-thames-water-to-new-400-million-professional-services-framework/,"New framework combines multiple existing professional services frameworks together, with AECOM winning positions on four lots. DALLAS (December 9, 2024) — AECOM (NYSE: ACM), the trusted global infrastructure leader, today announced its appointment by Thames Water to a new professional services framework in the UK. This new £400 million framework, FA1980, covers asset, capital and...Read more"
"November 26, 2024",AECOM Hunt and Rockford Construction Named for Amway Soccer Stadium Project,https://aecom.com/press-releases/aecom-hunt-and-rockford-construction-named-for-amway-soccer-stadium-project/,"GRAND RAPIDS, MI – AECOM Hunt is proud to announce its role as construction manager for the Amway Soccer Stadium project, partnering with Rockford Construction in a joint venture named Rockford/Hunt. The two companies bring a combined wealth of experience and expertise to deliver a state-of-the-art venue that will become a focal point for both...Read more"
"November 25, 2024",AECOM joint venture to provide engineering services for Metro Vancouver’s Iona Island Wastewater Treatment Plant upgrade,https://aecom.com/press-releases/aecom-joint-venture-to-provide-engineering-services-for-metro-vancouvers-iona-island-wastewater-treatment-plant-upgrade/,"DALLAS (November 25, 2024) — AECOM (NYSE: ACM), the trusted global infrastructure leader, today announced that its joint venture with Jacobs Consultancy Canada has been selected by Metro Vancouver to provide preliminary engineering services for the Iona Island Wastewater Treatment Plant upgrade. The project seeks to upgrade the existing facility to meet regulatory requirements and...Read more"
"November 20, 2024",AECOM to deliver environmental services for the California Department of Transportation,https://aecom.com/press-releases/aecom-to-deliver-environmental-services-for-the-california-department-of-transportation/,"SAN DIEGO (November 20, 2024) — AECOM, the trusted global infrastructure leader, announced today that it has been awarded a single-award, three-year environmental on-call contract by the California Department of Transportation, District 11 (Caltrans D11). Under this contract, AECOM will provide comprehensive environmental support services across a range of infrastructure projects for Caltrans D11, which...Read more"
